Step Number,Number Cells,Step Time,Memory (MB),step_values,step_image,get_neighbors,move_parallel,temp
1,1000,0.29054210000000014,121.7734375,0.011006000000000071,0.01755310000000021,0.22911720000000013,0.02699510000000016,0.0014634000000000036
2,1000,0.07337459999999973,121.85546875,0.011494999999999589,0.01749629999999991,0.0011537999999999826,0.03996789999999972,0.0015233000000001162
3,1000,0.09126870000000009,122.27734375,0.011481599999999759,0.017473700000000036,0.000980300000000156,0.05721979999999993,0.0016039999999999388
4,1000,0.11058239999999975,122.6015625,0.01291460000000022,0.017844300000000146,0.0013126999999997224,0.07512479999999977,0.0014486000000002441
5,1000,0.11854489999999984,122.78125,0.011068799999999879,0.014078800000000058,0.000992800000000127,0.0899527,0.0015125000000000277
6,1000,0.14903690000000003,122.84765625,0.007695600000000358,0.012166000000000121,0.0008864000000001759,0.12595769999999984,0.0016197000000000017
7,1000,0.1382699999999999,122.61328125,0.00805110000000031,0.011936100000000227,0.0009223000000000425,0.11465250000000005,0.0019961999999997815
8,1000,0.16200020000000004,123.61328125,0.008089800000000036,0.011982900000000019,0.0015065000000000772,0.13757619999999982,0.002131500000000397
9,1000,0.16744629999999994,123.51953125,0.007837099999999708,0.013150299999999948,0.0009869000000000128,0.14197879999999996,0.0025903999999998817
10,1000,0.1841109000000003,124.0546875,0.007653099999999746,0.012985899999999884,0.0011702000000002322,0.15854519999999983,0.0027698000000002665
11,1000,0.20025650000000006,124.0859375,0.00767490000000004,0.013181499999999957,0.0011634000000002587,0.17436600000000002,0.0027143000000000583
12,1000,0.21281020000000028,124.3828125,0.00774100000000022,0.01265309999999964,0.0012434000000003387,0.18718360000000045,0.002877999999999936
13,1000,0.22962439999999962,124.59765625,0.008762499999999562,0.011978299999999997,0.0013183999999997198,0.20355239999999952,0.0031648000000004117
14,1000,0.24413600000000013,124.7578125,0.00842760000000009,0.011602900000000638,0.001279799999999831,0.2185876999999996,0.003407600000000066
15,1000,0.26422670000000004,125.10546875,0.007636500000000268,0.012318699999999794,0.0013673000000000712,0.23807449999999974,0.003423599999999638
16,1000,0.27467940000000013,125.10546875,0.008214500000000236,0.013730799999999377,0.0015931999999994062,0.2466356000000003,0.0037042000000004904
17,1000,0.29158919999999977,125.46484375,0.007805099999999676,0.012006799999999984,0.0014025000000001953,0.2655430000000001,0.004020599999999597
18,1000,0.3129949000000005,125.50390625,0.007914099999999813,0.011962399999999818,0.0017572999999995176,0.2863578000000002,0.004197599999999468
19,1000,0.3321928000000005,125.65625,0.00789099999999987,0.011846499999999871,0.0015042000000002886,0.30579169999999944,0.004278900000000085
20,1000,0.3465997999999999,126.16015625,0.008159100000000308,0.01209690000000041,0.001557699999999329,0.31907450000000015,0.004807999999999701
21,1000,0.3624003999999994,126.2421875,0.007951699999999562,0.011518299999999648,0.0016329999999999956,0.33478030000000025,0.005607799999999941
22,1000,0.3779672000000005,127.17578125,0.007789299999999777,0.012021400000000071,0.0016695000000002125,0.3498751000000002,0.005743800000000299
23,1000,0.3962076999999997,125.8359375,0.007776099999999175,0.012483699999999764,0.0020531999999997552,0.3672306000000001,0.005823599999999374
24,1000,0.41133120000000023,127.1953125,0.007921500000000137,0.01160600000000045,0.0018178999999998169,0.3824190000000005,0.0067310000000002645
25,1000,0.43544999999999945,126.234375,0.008148099999999658,0.01191869999999895,0.001807299999999401,0.4062605999999995,0.006432900000000075
26,1000,0.45601790000000086,127.07421875,0.007970499999998992,0.012103999999999004,0.0019740000000005864,0.42693200000000076,0.006138199999998761
27,1000,0.4711528999999999,126.859375,0.007620899999999153,0.012211199999999423,0.0021950999999997833,0.4409743000000006,0.007201500000000749
28,1000,0.4978133000000007,127.36328125,0.008236200000000693,0.012325600000000492,0.00218190000000007,0.46701490000000057,0.007040599999999841
29,1000,0.5150144999999995,127.78125,0.007749900000000309,0.012843800000000627,0.002263799999999705,0.4835174999999996,0.007046799999999465
30,1000,0.5450899000000007,127.71484375,0.00843560000000032,0.011708399999999841,0.0031984000000004897,0.5130922000000009,0.0077344999999997555
31,1000,0.5484951999999996,128.703125,0.008468999999999838,0.011922999999999462,0.0023978000000006716,0.5169248999999994,0.007866199999998713
32,1000,0.5709130000000009,129.44140625,0.007870199999999272,0.012736600000000209,0.002456000000000458,0.5391125999999993,0.007843100000000547
33,1000,0.5878680000000003,129.40234375,0.007658700000000351,0.011823299999999648,0.002599299999999971,0.5564064999999996,0.008450799999998537
34,1000,0.6213999999999995,129.58984375,0.008343599999999896,0.011623800000000628,0.002604599999999735,0.5887563,0.008812400000000054
35,1000,0.6380228999999993,127.63671875,0.008345399999999614,0.012111400000000216,0.0027492000000002292,0.6043227000000009,0.009524899999998837
36,1000,0.6464176999999989,129.0859375,0.007936799999999522,0.011445300000000103,0.003165100000000365,0.6134780000000006,0.009495799999999832
37,1000,0.6767342000000003,128.84765625,0.007721300000000042,0.011941999999999453,0.0029761999999990962,0.6435297999999996,0.009603499999998988
38,1000,0.7127651999999998,129.53125,0.009376099999998999,0.012195399999999523,0.0030406999999996742,0.6763671000000002,0.010325899999999777
39,1000,0.7419812000000015,129.125,0.007869400000000581,0.012523099999999232,0.0037807000000000812,0.706195199999998,0.010619600000001839
40,1000,0.7459533999999977,128.26953125,0.007873800000002262,0.011902200000001528,0.0033247000000002913,0.7104417000000005,0.01118280000000027
41,1000,0.7775598000000024,127.71875,0.008423900000000373,0.011823100000000863,0.0036640999999981716,0.7417084000000003,0.010942899999999867
42,1000,0.7941566999999985,129.54296875,0.007749700000001525,0.01200719999999933,0.004028999999999172,0.7582232000000033,0.011197499999997973
43,1000,0.8249911999999995,128.48828125,0.008558699999998254,0.01182449999999946,0.003675000000001205,0.788409999999999,0.011281499999999056
44,1000,0.8321664999999996,129.71875,0.008609799999998557,0.011655699999998603,0.004255000000000564,0.7949087999999982,0.011572300000000979
45,1000,0.8649573000000004,131.09765625,0.008321699999999765,0.011506300000000635,0.004107799999999884,0.8269611999999995,0.013043800000001937
46,1000,0.858699399999999,131.05078125,0.007689899999999028,0.01237740000000187,0.003776099999999616,0.8214065999999995,0.01252799999999965
47,1000,0.9010126000000014,129.66796875,0.008264300000000446,0.011853999999999587,0.004428799999999455,0.8618596000000025,0.013330299999999795
48,1000,0.924793900000001,128.6953125,0.008377099999997029,0.011835099999998988,0.004219899999998944,0.8842266000000016,0.014869999999998385
49,1000,0.9314309999999999,128.96484375,0.00798950000000076,0.011875899999999717,0.00486890000000173,0.8915541000000005,0.014170400000001138
50,1000,0.9743586999999998,129.45703125,0.010251900000000091,0.012425199999999137,0.0049323999999977275,0.9308502999999995,0.014750799999998065
51,1000,1.0565704000000018,129.52734375,0.007944300000001903,0.013432899999997971,0.005575099999997946,1.0102603000000023,0.018178899999998777
52,1000,1.0279908000000013,129.3125,0.008476800000000395,0.012583200000001682,0.005019300000000726,0.9846629999999976,0.015865699999999094
53,1000,1.0956103999999982,128.984375,0.009646700000001118,0.013534899999999794,0.005050499999999403,1.0490497000000012,0.01706190000000163
54,1000,1.1075152000000017,129.80078125,0.008260700000001009,0.01264550000000142,0.006483599999999257,1.0625084000000022,0.016193400000002356
55,1000,1.175093699999998,129.23828125,0.008087999999997209,0.012892600000000698,0.005628600000001427,1.1296953999999992,0.017695899999999654
56,1000,1.1554752000000015,130.046875,0.008546699999996576,0.012180900000004158,0.006106100000000225,1.1112107000000009,0.016355900000000645
57,1000,1.1976379000000037,129.7578125,0.008764599999999234,0.011985200000005136,0.00574269999999899,1.1528843999999978,0.01696789999999737
58,1000,1.1465566999999979,129.859375,0.008312099999997713,0.011632399999996323,0.0065322000000023195,1.1017994999999985,0.016605300000001932
59,1000,1.191898000000002,129.72265625,0.009204499999995619,0.012699499999996533,0.006144800000001283,1.1452363000000005,0.01761640000000142
60,1000,1.2425500000000014,130.69921875,0.008698000000002537,0.013793599999999628,0.006211999999997886,1.1929972999999947,0.019765300000003094
